	match_id	minute	gold_or_xp	value
753	5981064408	22	1	-11540
754	5981064408	23	1	-10045
755	5981064408	24	1	-11385
756	5981064408	25	1	-12876
757	5981064408	26	1	-13158
758	5981064408	27	1	-15040
759	5981064408	28	1	-15712
760	5981064408	29	1	-18051
761	5981064408	30	1	-18815
762	5981051534	0	0	0
763	5981051534	1	0	-706
764	5981051534	2	0	-1020
765	5981051534	3	0	-1157
766	5981051534	4	0	-945
767	5981051534	5	0	-1067
768	5981051534	6	0	-1325
769	5981051534	7	0	-2456
770	5981051534	8	0	-2366
771	5981051534	9	0	-2436
772	5981051534	10	0	-2785
773	5981051534	11	0	-2454
774	5981051534	12	0	-3991
775	5981051534	13	0	-5503
776	5981051534	14	0	-5241
777	5981051534	15	0	-4527
778	5981051534	16	0	-5492
779	5981051534	17	0	-6139
780	5981051534	18	0	-6345
781	5981051534	19	0	-7398
782	5981051534	20	0	-7799
783	5981051534	21	0	-8565
784	5981051534	22	0	-9377
785	5981051534	23	0	-10141
786	5981051534	24	0	-11222
787	5981051534	25	0	-12415
788	5981051534	26	0	-14153
789	5981051534	27	0	-14872
790	5981051534	28	0	-15053
791	5981051534	29	0	-14571
792	5981051534	30	0	-17370
793	5981051534	31	0	-20073
794	5981051534	32	0	-19949
795	5981051534	33	0	-16443
796	5981051534	34	0	-15079
797	5981051534	35	0	-16145
798	5981051534	0	1	0
799	5981051534	1	1	-9
800	5981051534	2	1	-273
801	5981051534	3	1	-580
802	5981051534	4	1	-227
803	5981051534	5	1	-128
804	5981051534	6	1	-453
805	5981051534	7	1	-1873
806	5981051534	8	1	-1654
807	5981051534	9	1	-2095
808	5981051534	10	1	-2558
809	5981051534	11	1	-1332
810	5981051534	12	1	-3750
811	5981051534	13	1	-4763
812	5981051534	14	1	-4492
813	5981051534	15	1	-3292
814	5981051534	16	1	-5245
815	5981051534	17	1	-5825
816	5981051534	18	1	-5987
817	5981051534	19	1	-9123
818	5981051534	20	1	-8979
819	5981051534	21	1	-8966
820	5981051534	22	1	-8687
821	5981051534	23	1	-10384
822	5981051534	24	1	-9341
823	5981051534	25	1	-10609
824	5981051534	26	1	-13047
825	5981051534	27	1	-14877
826	5981051534	28	1	-15122
827	5981051534	29	1	-14047
828	5981051534	30	1	-21013
829	5981051534	31	1	-21061
830	5981051534	32	1	-20348
831	5981051534	33	1	-12208
832	5981051534	34	1	-11935
833	5981051534	35	1	-18736
834	5981049190	0	0	0
835	5981049190	1	0	671
836	5981049190	2	0	613
837	5981049190	3	0	661
838	5981049190	4	0	387
839	5981049190	5	0	243
840	5981049190	6	0	-121
841	5981049190	7	0	-185
842	5981049190	8	0	-469
843	5981049190	9	0	-268
844	5981049190	10	0	175
845	5981049190	11	0	773
846	5981049190	12	0	1091
847	5981049190	13	0	-108
848	5981049190	14	0	80
849	5981049190	15	0	-1446
850	5981049190	16	0	-1393
851	5981049190	17	0	-483
852	5981049190	18	0	-782
853	5981049190	19	0	409
854	5981049190	20	0	-466
855	5981049190	21	0	-1794
856	5981049190	22	0	-1278
857	5981049190	23	0	-991
858	5981049190	24	0	334
859	5981049190	25	0	-170
860	5981049190	26	0	-2395
861	5981049190	27	0	-3557
862	5981049190	28	0	-3806
863	5981049190	29	0	-5238
864	5981049190	30	0	-4121
865	5981049190	31	0	-3696
866	5981049190	32	0	-3920
867	5981049190	33	0	-4907
868	5981049190	34	0	-4176
869	5981049190	35	0	-5552
870	5981049190	36	0	-6874
871	5981049190	37	0	-8600
872	5981049190	38	0	-12386
873	5981049190	39	0	-14430
874	5981049190	40	0	-15274
875	5981049190	0	1	0
876	5981049190	1	1	188
877	5981049190	2	1	-114
878	5981049190	3	1	-156
879	5981049190	4	1	-502
880	5981049190	5	1	-417
881	5981049190	6	1	-1044
882	5981049190	7	1	-1089
883	5981049190	8	1	-1935
884	5981049190	9	1	-1994
885	5981049190	10	1	-1373
886	5981049190	11	1	505
887	5981049190	12	1	294
888	5981049190	13	1	-338
889	5981049190	14	1	377
890	5981049190	15	1	-1389
891	5981049190	16	1	-1537
892	5981049190	17	1	873
893	5981049190	18	1	203
894	5981049190	19	1	1313
895	5981049190	20	1	157
896	5981049190	21	1	-464
897	5981049190	22	1	778
898	5981049190	23	1	1070
899	5981049190	24	1	4069
900	5981049190	25	1	2893
901	5981049190	26	1	517
902	5981049190	27	1	-2273
903	5981049190	28	1	-1122
904	5981049190	29	1	-3131
905	5981049190	30	1	-26
906	5981049190	31	1	292
907	5981049190	32	1	-656
908	5981049190	33	1	-2420
909	5981049190	34	1	-907
910	5981049190	35	1	-4314
911	5981049190	36	1	-7684
912	5981049190	37	1	-7501
913	5981049190	38	1	-13271
914	5981049190	39	1	-11505
915	5981049190	40	1	-12105
916	5981008349	0	0	100
917	5981008349	1	0	332
918	5981008349	2	0	-27
919	5981008349	3	0	333
920	5981008349	4	0	713
921	5981008349	5	0	689
922	5981008349	6	0	684
923	5981008349	7	0	1235
924	5981008349	8	0	1096
925	5981008349	9	0	1927
926	5981008349	10	0	1478
927	5981008349	11	0	940
928	5981008349	12	0	2293
929	5981008349	13	0	2966
930	5981008349	14	0	1956
931	5981008349	15	0	1651
932	5981008349	16	0	1654
933	5981008349	17	0	2386
934	5981008349	18	0	2178
935	5981008349	19	0	1568
936	5981008349	20	0	392
937	5981008349	21	0	880
938	5981008349	22	0	1166
939	5981008349	23	0	3464
940	5981008349	24	0	3680
941	5981008349	25	0	5039
942	5981008349	26	0	5214
943	5981008349	27	0	5733
944	5981008349	28	0	6327
945	5981008349	29	0	5528
946	5981008349	30	0	5914
947	5981008349	31	0	9220
948	5981008349	32	0	9610
949	5981008349	33	0	10296
950	5981008349	34	0	11013
951	5981008349	0	1	26
952	5981008349	1	1	341
953	5981008349	2	1	-467
954	5981008349	3	1	-65
955	5981008349	4	1	-10
956	5981008349	5	1	-348
957	5981008349	6	1	-138
958	5981008349	7	1	9
959	5981008349	8	1	-15
960	5981008349	9	1	313
961	5981008349	10	1	-261
962	5981008349	11	1	-817
963	5981008349	12	1	520
964	5981008349	13	1	1002
965	5981008349	14	1	-269
966	5981008349	15	1	-803
967	5981008349	16	1	13
968	5981008349	17	1	-917
969	5981008349	18	1	-1649
970	5981008349	19	1	-2162
971	5981008349	20	1	-4339
972	5981008349	21	1	-3302
973	5981008349	22	1	-431
974	5981008349	23	1	1923
975	5981008349	24	1	712
976	5981008349	25	1	4408
977	5981008349	26	1	4016
978	5981008349	27	1	4967
979	5981008349	28	1	5904
980	5981008349	29	1	6157
981	5981008349	30	1	7950
982	5981008349	31	1	12680
983	5981008349	32	1	13851
984	5981008349	33	1	14270
985	5981008349	34	1	16340
986	5980994059	0	0	100
987	5980994059	1	0	-688
988	5980994059	2	0	-1117
989	5980994059	3	0	-648
990	5980994059	4	0	-541
991	5980994059	5	0	-623
992	5980994059	6	0	-492
