	match_id	account_id	player_slot	hero_id	time	x	y	type
6870	5977171027	119180054	129	102	824	128	134	0
6871	5977171027	119180054	129	102	997	98	152	0
6872	5977171027	119180054	129	102	1074	94	138	0
6873	5977171027	119180054	129	102	1173	114	134	0
6874	5977171027	119180054	129	102	1403	152	172	0
6875	5977171027	119180054	129	102	1660	122	142	0
6876	5977171027	119180054	129	102	1892	134	126	0
6877	5977171027	119180054	129	102	1911	162	120	0
6878	5977171027	119180054	129	102	2001	172	148	0
6879	5977171027	119180054	129	102	116	90	158	1
6880	5977171027	119180054	129	102	227	94	152	1
6881	5977171027	119180054	129	102	611	104	156	1
6882	5977171027	119180054	129	102	782	156	140	1
6883	5977171027	119180054	129	102	821	138	136	1
6884	5977171027	119180054	129	102	885	164	132	1
6885	5977171027	119180054	129	102	1054	132	160	1
6886	5977171027	119180054	129	102	1078	90	140	1
6887	5977171027	119180054	129	102	1133	122	142	1
6888	5977171027	119180054	129	102	1171	116	134	1
6889	5977171027	119180054	129	102	1266	164	132	1
6890	5977171027	119180054	129	102	1275	144	120	1
6891	5977171027	119180054	129	102	1316	152	162	1
6892	5977171027	119180054	129	102	1344	152	172	1
6893	5977171027	119180054	129	102	1576	128	146	1
6894	5977171027	119180054	129	102	1582	138	136	1
6895	5977171027	119180054	129	102	1626	152	152	1
6896	5977171027	119180054	129	102	1635	158	142	1
6897	5977171027	119180054	129	102	1721	168	152	1
6898	5977171027	119180054	129	102	1902	144	122	1
6899	5977171027	119180054	129	102	1953	122	144	1
6900	5977171027	119180054	129	102	1955	132	150	1
6901	5977171027	68007361	132	119	298	152	86	0
6902	5977171027	68007361	132	119	1519	132	148	0
6903	5977171027	68007361	132	119	124	162	94	1
6904	5977171027	68007361	132	119	1494	138	160	1
6905	5977171027	68007361	132	119	1801	144	120	1
6906	5977042347	93552791	0	91	430	172	106	0
6907	5977042347	93552791	0	91	880	104	156	0
6908	5977042347	93552791	0	91	972	114	128	0
6909	5977042347	93552791	0	91	1079	130	160	0
6910	5977042347	93552791	0	91	1453	164	132	0
6911	5977042347	93552791	0	91	1590	132	158	0
6912	5977042347	93552791	0	91	1741	164	132	0
6913	5977042347	93552791	0	91	86	158	90	1
6914	5977042347	93552791	0	91	596	156	100	1
6915	5977042347	93552791	0	91	983	110	144	1
6916	5977042347	93552791	0	91	1081	132	154	1
6917	5977042347	93552791	0	91	1090	122	144	1
6918	5977042347	93552791	0	91	1351	96	130	1
6919	5977042347	93552791	0	91	1407	136	148	1
6920	5977042347	93552791	0	91	1590	132	158	1
6921	5977042347	205517338	2	9	-51	122	144	0
6922	5977042347	205517338	2	9	3	136	110	0
6923	5977042347	205517338	2	9	181	94	140	0
6924	5977042347	205517338	2	9	570	150	102	0
6925	5977042347	205517338	2	9	882	142	90	0
6926	5977042347	205517338	2	9	1267	132	130	0
6927	5977042347	205517338	2	9	1470	120	142	0
6928	5977042347	205517338	2	9	1862	164	134	0
6929	5977042347	205517338	2	9	24	90	154	1
6930	5977042347	205517338	2	9	281	96	152	1
6931	5977042347	205517338	2	9	369	104	156	1
6932	5977042347	205517338	2	9	421	98	120	1
6933	5977042347	205517338	2	9	503	120	132	1
6934	5977042347	205517338	2	9	735	122	102	1
6935	5977042347	205517338	2	9	765	124	124	1
6936	5977042347	205517338	2	9	893	136	86	1
6937	5977042347	205517338	2	9	957	124	122	1
6938	5977042347	205517338	2	9	1001	104	154	1
6939	5977042347	205517338	2	9	1264	134	130	1
6940	5977042347	205517338	2	9	1273	148	122	1
6941	5977042347	205517338	2	9	1460	142	120	1
6942	5977042347	205517338	2	9	1597	120	144	1
6943	5977042347	205517338	2	9	1637	126	160	1
6944	5977042347	205517338	2	9	1742	166	130	1
6945	5977042347	205517338	2	9	1754	178	144	1
6946	5977042347	205517338	2	9	1859	162	134	1
6947	5977042347	70388657	4	46	272	116	126	0
6948	5977042347	70388657	4	46	389	122	124	1
6949	5977042347	70388657	4	46	427	122	130	1
6950	5977042347	145065875	128	26	-61	142	122	0
6951	5977042347	145065875	128	26	392	124	102	0
6952	5977042347	145065875	128	26	384	148	104	1
6953	5977042347	145065875	128	26	709	118	122	1
6954	5977042347	145065875	128	26	880	106	156	1
6955	5977042347	145065875	128	26	1044	138	76	1
6956	5977042347	145065875	128	26	1496	122	142	1
6957	5977042347	11550182	130	58	29	92	166	0
6958	5977042347	11550182	130	58	405	94	120	0
6959	5977042347	11550182	130	58	466	110	142	0
6960	5977042347	11550182	130	58	713	108	108	0
6961	5977042347	11550182	130	58	849	144	122	0
6962	5977042347	11550182	130	58	897	94	166	0
6963	5977042347	11550182	130	58	946	126	126	0
6964	5977042347	11550182	130	58	1116	132	160	0
6965	5977042347	11550182	130	58	1188	138	144	0
6966	5977042347	11550182	130	58	1398	132	96	0
6967	5977042347	11550182	130	58	1561	90	158	0
6968	5977042347	11550182	130	58	1579	122	144	0
6969	5977042347	11550182	130	58	1976	164	134	0
6970	5977042347	11550182	130	58	1990	144	122	0
6971	5977042347	11550182	130	58	263	94	156	1
6972	5977042347	11550182	130	58	326	122	130	1
6973	5977042347	11550182	130	58	421	122	130	1
6974	5977042347	11550182	130	58	454	118	134	1
6975	5977042347	11550182	130	58	525	170	102	1
6976	5977042347	11550182	130	58	682	128	102	1
6977	5977042347	11550182	130	58	772	136	90	1
6978	5977042347	11550182	130	58	804	136	138	1
6979	5977042347	11550182	130	58	847	150	120	1
6980	5977042347	11550182	130	58	870	122	142	1
6981	5977042347	11550182	130	58	942	124	126	1
6982	5977042347	11550182	130	58	982	126	126	1
6983	5977042347	11550182	130	58	1112	136	160	1
6984	5977042347	11550182	130	58	1146	136	172	1
6985	5977042347	11550182	130	58	1311	158	134	1
6986	5977042347	11550182	130	58	1334	150	120	1
6987	5977042347	11550182	130	58	1393	148	102	1
6988	5977042347	11550182	130	58	1558	94	164	1
6989	5977042347	11550182	130	58	1565	104	156	1
6990	5977042347	11550182	130	58	1646	144	122	1
6991	5977042347	11550182	130	58	1726	134	158	1
6992	5977042347	11550182	130	58	1753	166	148	1
6993	5977042347	11550182	130	58	1824	164	134	1
6994	5977042347	11550182	130	58	1973	162	134	1
